date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,body_pct,candle_direction,or_high,or_low,orb_used,signal_v2,model_v2,skip_reason,spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price,trail_active,breakeven_set
2026-06-08,09:15,23200.0,23209.0,23166.1,23208.0,335725,23194.37,23409.65,22.75,0.0588,18.65,1,,,False,NO_SIGNAL,NONE,before entry window (09:35:00),23132.05,23150,,,False,,,,False,False
2026-06-08,09:20,23208.1,23212.0,23180.0,23208.2,293085,23197.02,23390.47,22.79,0.0482,0.31,1,,,False,NO_SIGNAL,NONE,before entry window (09:35:00),23136.5,23150,127.0,120.1,False,,,,False,False
2026-06-08,09:25,23208.5,23224.0,23201.0,23224.0,168350,23201.1,23374.61,25.96,0.0987,67.39,1,,,False,NO_SIGNAL,NONE,before entry window (09:35:00),23155.5,23150,137.0,111.85,False,,,,False,False
2026-06-08,09:30,23224.0,23249.0,23220.0,23243.1,107380,23205.41,23362.09,29.71,0.1624,65.86,1,,,False,NO_SIGNAL,NONE,4 legs up,23184.8,23200,,,False,,,,False,False
2026-06-08,09:35,23245.9,23250.0,23205.0,23224.6,79950,23207.12,23348.99,28.22,0.0753,47.33,-1,23249.0,23166.1,False,NO_SIGNAL,NONE,body 47% < 55; vwap dist 0.08% < min,23155.65,23150,,,False,,,,False,False
2026-06-08,09:40,23228.0,23246.6,23215.0,23225.1,48750,23208.15,23337.19,28.32,0.073,9.18,-1,23249.0,23166.1,False,NO_SIGNAL,NONE,body 9% < 55; vwap dist 0.07% < min,23159.15,23150,143.5,107.1,False,,,,False,False
2026-06-08,09:45,23235.0,23251.2,23205.0,23209.9,53300,23208.83,23325.07,27.03,0.0046,54.33,-1,23249.0,23166.1,False,NO_SIGNAL,NONE,body 54% < 55; vwap dist 0.00% < min,23135.75,23150,125.3,122.0,False,,,,False,False
2026-06-08,09:50,23209.9,23245.0,23200.0,23238.2,56290,23209.76,23316.8,33.15,0.1225,62.89,1,23249.0,23166.1,False,NO_SIGNAL,NONE,no model matched,23174.15,23150,147.35,100.6,False,,,,False,False
2026-06-08,09:55,23237.3,23272.2,23235.3,23270.3,86840,23213.26,23312.37,39.35,0.2457,89.43,1,23249.0,23166.1,False,NO_SIGNAL,NONE,no model matched,23199.95,23200,,,False,,,,False,False
2026-06-08,10:00,23270.0,23272.0,23240.0,23240.0,46800,23214.63,23305.48,35.96,0.1093,93.75,-1,23249.0,23166.1,False,NO_SIGNAL,NONE,no model matched,23169.8,23150,,,False,,,,False,False
