date,time,model,signal,outcome,spot,atm_strike,option_ltp,vwap,vwap_dist_pct,rsi14,body_pct,or_high,or_low,skip_reasons,reason
2026-05-29,09:35:00,ANY,NO_SIGNAL,SKIPPED,23898.5,23900,0.0,24019.62,-0.504,52.28,1.67,,,body 2% < 55,
2026-05-29,09:40:00,ANY,NO_SIGNAL,SKIPPED,23923.05,23900,0.0,24018.45,-0.397,58.92,57.45,24055.0,23970.0,vwap dist 0.03% < min,
2026-05-29,09:45:00,M2_ORB,BUY_PE,FIRED,23875.65,23900,130.55,24015.75,-0.583,48.0,80.13,24055.0,23970.0,,M2 | break ORL=23970 close=23964 | RSI=48
2026-06-01,09:35:00,ANY,NO_SIGNAL,SKIPPED,23610.75,23600,0.0,23684.95,-0.313,33.4,53.52,,,body 54% < 55; vwap dist 0.02% < min,
2026-06-01,09:40:00,ANY,NO_SIGNAL,SKIPPED,23608.75,23600,0.0,23681.56,-0.307,33.27,2.73,23730.0,23652.0,body 3% < 55; vwap dist 0.01% < min,
2026-06-01,09:45:00,ANY,NO_SIGNAL,SKIPPED,23575.25,23600,0.0,23680.06,-0.443,30.21,60.2,23730.0,23652.0,no model matched,
2026-06-01,09:50:00,ANY,NO_SIGNAL,SKIPPED,23580.2,23600,0.0,23676.11,-0.405,29.65,1.61,23730.0,23652.0,body 2% < 55,
2026-06-01,09:55:00,ANY,NO_SIGNAL,SKIPPED,23585.9,23600,0.0,23674.75,-0.375,32.59,31.36,23730.0,23652.0,body 31% < 55; vwap dist 0.08% < min,
2026-06-01,10:00:00,ANY,NO_SIGNAL,SKIPPED,23561.05,23550,0.0,23672.63,-0.471,29.14,98.44,23730.0,23652.0,no model matched,
2026-06-01,10:05:00,ANY,NO_SIGNAL,SKIPPED,23541.05,23550,0.0,23667.67,-0.535,27.27,66.67,23730.0,23652.0,no model matched,
2026-06-01,10:10:00,ANY,NO_SIGNAL,SKIPPED,23569.25,23550,0.0,23664.9,-0.404,33.56,63.13,23730.0,23652.0,no model matched,
2026-06-01,10:15:00,ANY,NO_SIGNAL,SKIPPED,23553.15,23550,0.0,23662.78,-0.463,32.07,66.67,23730.0,23652.0,no model matched,
2026-06-01,10:20:00,ANY,NO_SIGNAL,SKIPPED,23558.15,23550,0.0,23661.45,-0.437,33.54,30.51,23730.0,23652.0,body 31% < 55,
2026-06-01,10:25:00,ANY,NO_SIGNAL,SKIPPED,23549.15,23550,0.0,23660.28,-0.47,32.71,40.54,23730.0,23652.0,body 41% < 55,
2026-06-01,10:30:00,ANY,NO_SIGNAL,SKIPPED,23539.85,23550,0.0,23659.25,-0.505,31.44,42.08,23730.0,23652.0,body 42% < 55,
2026-06-01,10:35:00,ANY,NO_SIGNAL,SKIPPED,23529.2,23550,0.0,23656.21,-0.537,28.99,54.2,23730.0,23652.0,body 54% < 55,
2026-06-01,10:40:00,ANY,NO_SIGNAL,SKIPPED,23542.3,23550,0.0,23653.14,-0.469,35.39,66.4,23730.0,23652.0,no model matched,
2026-06-01,10:45:00,ANY,NO_SIGNAL,SKIPPED,23538.2,23550,0.0,23652.06,-0.481,35.49,1.56,23730.0,23652.0,body 2% < 55,
2026-06-01,10:50:00,ANY,NO_SIGNAL,SKIPPED,23570.7,23550,0.0,23651.4,-0.341,42.46,72.11,23730.0,23652.0,vwap dist 0.05% < min,
2026-06-01,10:55:00,ANY,NO_SIGNAL,SKIPPED,23592.3,23600,0.0,23651.5,-0.25,47.86,71.76,23730.0,23652.0,vwap dist 0.05% < min; 4 legs up,
2026-06-01,11:00:00,ANY,NO_SIGNAL,SKIPPED,23571.45,23550,0.0,23651.44,-0.338,44.05,80.75,23730.0,23652.0,vwap dist 0.03% < min,
2026-06-01,11:05:00,ANY,NO_SIGNAL,SKIPPED,23593.0,23600,0.0,23651.49,-0.247,46.38,42.4,23730.0,23652.0,body 42% < 55; vwap dist 0.01% < min,
2026-06-01,11:10:00,ANY,NO_SIGNAL,SKIPPED,23610.05,23600,0.0,23652.13,-0.178,51.49,100.0,23730.0,23652.0,no model matched,
2026-06-01,11:15:00,ANY,NO_SIGNAL,SKIPPED,23606.55,23600,0.0,23652.47,-0.194,50.45,44.0,23730.0,23652.0,body 44% < 55; vwap dist 0.09% < min,
2026-06-01,11:20:00,ANY,NO_SIGNAL,SKIPPED,23607.9,23600,0.0,23653.28,-0.192,50.67,8.89,23730.0,23652.0,body 9% < 55; vwap dist 0.09% < min,
2026-06-01,11:25:00,ANY,NO_SIGNAL,SKIPPED,23581.05,23600,0.0,23653.45,-0.306,45.76,66.67,23730.0,23652.0,vwap dist 0.01% < min,
2026-06-01,11:30:00,ANY,NO_SIGNAL,SKIPPED,23559.15,23550,0.0,23653.22,-0.398,41.67,79.54,23730.0,23652.0,vwap dist 0.10% < min; 4 legs down,
2026-06-01,11:35:00,ANY,NO_SIGNAL,SKIPPED,23545.0,23550,0.0,23652.53,-0.455,39.31,51.92,23730.0,23652.0,body 52% < 55; 5 legs down,
2026-06-01,11:40:00,ANY,NO_SIGNAL,SKIPPED,23567.6,23550,0.0,23652.18,-0.358,42.94,56.4,23730.0,23652.0,vwap dist 0.09% < min,
2026-06-01,11:45:00,ANY,NO_SIGNAL,SKIPPED,23550.0,23550,0.0,23651.87,-0.431,40.62,48.75,23730.0,23652.0,body 49% < 55,
2026-06-01,11:50:00,ANY,NO_SIGNAL,SKIPPED,23553.35,23550,0.0,23651.13,-0.413,41.25,13.31,23730.0,23652.0,body 13% < 55,
2026-06-01,11:55:00,ANY,NO_SIGNAL,SKIPPED,23554.1,23550,0.0,23650.77,-0.409,40.39,22.75,23730.0,23652.0,body 23% < 55,
2026-06-01,12:00:00,ANY,NO_SIGNAL,SKIPPED,23493.65,23500,0.0,23646.36,-0.646,30.54,92.48,23730.0,23652.0,no model matched,
2026-06-01,12:05:00,ANY,NO_SIGNAL,SKIPPED,23498.45,23500,0.0,23641.95,-0.607,32.73,17.22,23730.0,23652.0,body 17% < 55,
2026-06-01,12:10:00,ANY,NO_SIGNAL,SKIPPED,23506.05,23500,0.0,23640.69,-0.57,35.01,39.5,23730.0,23652.0,body 40% < 55,
2026-06-01,12:15:00,ANY,NO_SIGNAL,SKIPPED,23529.7,23550,0.0,23639.82,-0.466,39.15,53.45,23730.0,23652.0,body 53% < 55,
2026-06-01,12:20:00,ANY,NO_SIGNAL,SKIPPED,23528.2,23550,0.0,23638.72,-0.468,39.94,8.03,23730.0,23652.0,body 8% < 55,
2026-06-01,12:25:00,ANY,NO_SIGNAL,SKIPPED,23518.75,23500,0.0,23637.63,-0.503,37.52,56.03,23730.0,23652.0,no model matched,
2026-06-01,12:30:00,ANY,NO_SIGNAL,SKIPPED,23516.35,23500,0.0,23637.42,-0.512,38.51,18.6,23730.0,23652.0,body 19% < 55,
2026-06-01,12:35:00,ANY,NO_SIGNAL,SKIPPED,23513.4,23500,0.0,23637.1,-0.523,37.28,74.7,23730.0,23652.0,no model matched,
2026-06-01,12:40:00,ANY,NO_SIGNAL,SKIPPED,23514.35,23500,0.0,23636.64,-0.517,38.3,20.13,23730.0,23652.0,body 20% < 55,
2026-06-01,12:45:00,ANY,NO_SIGNAL,SKIPPED,23515.85,23500,0.0,23636.11,-0.509,39.02,16.67,23730.0,23652.0,body 17% < 55,
2026-06-01,12:50:00,ANY,NO_SIGNAL,SKIPPED,23532.8,23550,0.0,23635.75,-0.436,46.25,93.48,23730.0,23652.0,no model matched,
2026-06-01,12:55:00,ANY,NO_SIGNAL,SKIPPED,23527.8,23550,0.0,23635.3,-0.455,42.94,58.82,23730.0,23652.0,no model matched,
2026-06-01,13:00:00,ANY,NO_SIGNAL,SKIPPED,23513.45,23500,0.0,23634.58,-0.513,40.53,28.99,23730.0,23652.0,body 29% < 55,
2026-06-01,13:05:00,ANY,NO_SIGNAL,SKIPPED,23496.5,23500,0.0,23633.84,-0.581,36.78,52.16,23730.0,23652.0,body 52% < 55,
2026-06-01,13:10:00,ANY,NO_SIGNAL,SKIPPED,23478.65,23500,0.0,23630.64,-0.643,33.14,75.92,23730.0,23652.0,4 legs down,
2026-06-01,13:15:00,ANY,NO_SIGNAL,SKIPPED,23460.65,23450,0.0,23627.43,-0.706,29.07,81.67,23730.0,23652.0,vwap dist 0.47% > max; 5 legs down,
2026-06-01,13:20:00,ANY,NO_SIGNAL,SKIPPED,23473.65,23450,0.0,23625.6,-0.643,35.51,77.08,23730.0,23652.0,no model matched,
2026-06-01,13:25:00,ANY,NO_SIGNAL,SKIPPED,23469.0,23450,0.0,23624.68,-0.659,33.9,64.75,23730.0,23652.0,vwap dist 0.42% > max,
2026-06-02,09:35:00,ANY,NO_SIGNAL,SKIPPED,23282.8,23300,0.0,23340.09,-0.245,27.96,19.05,,,body 19% < 55; vwap dist 0.08% < min,
