date,trade_number,model,option_symbol,option_type,strike,expiry,entry_time,entry_price,exit_time,exit_price,qty,pnl_points,pnl_rupees,pnl_pct,result,mfe_pct,spot_entry,spot_exit,vwap_entry,ema20_entry,rsi14_entry,hard_sl_premium,sl_pct,reason_for_entry,exit_layer,reason_for_exit,breakeven_set,trail_active
2026-05-29,1,M2_ORB,NIFTY2660223900PE,PE,23900,2026-06-02,09:45:00,130.55,09:45:19,130.4,65,-0.15,-9.75,-0.11,LOSS,3.33,23875.65,23875.6,24015.75,23982.05,48.0,117.5,10.0,M2 | break ORL=23970 close=23964 | RSI=48,HARD_SL,SL hit | sl=130.55 cur=130.40 pnl=-0.1%,True,False
2026-06-02,1,M3_PULLBACK,NIFTY2660923350CE,CE,23350,2026-06-09,10:30:00,235.15,10:51:38,211.6,65,-23.55,-1530.75,-10.01,LOSS,1.25,23369.6,23325.1,23362.35,23410.19,55.7,211.64,10.0,M3 | sig@-2 body=73% | break above pull,HARD_SL,SL hit | sl=211.64 cur=211.60 pnl=-10.0%,False,False
2026-06-03,1,M3_PULLBACK,NIFTY2660923200PE,PE,23200,2026-06-09,12:00:00,187.7,12:03:44,211.15,65,23.45,1524.25,12.49,WIN,12.49,23192.25,23162.85,23334.65,23295.84,34.3,168.93,10.0,M3 | sig@-4 body=76% | break below pull,TARGET,target +12.5% ≥ 12%,True,True
2026-06-08,1,M3_PULLBACK,NIFTY2660923250CE,CE,23250,2026-06-09,12:45:00,119.1,12:51:26,134.3,65,15.2,988.0,12.76,WIN,12.76,23238.2,23255.75,23235.71,23274.45,61.5,107.19,10.0,M3 | sig@-4 body=100% | break above pull,TARGET,target +12.8% ≥ 12%,False,False
2026-06-09,1,M1_VWAP_RECLAIM,NIFTY2661623250CE,CE,23250,2026-06-16,09:35:00,211,09:49:42,188.8,65,-22.2,-1443.0,-10.52,LOSS,1.18,23239.3,23187.1,23259.66,23227.45,58.0,189.9,10.0,M1 | reclaim VWAP=23260 prev<23260 cur>23260 | RSI=58,HARD_SL,SL hit | sl=189.90 cur=188.80 pnl=-10.5%,False,False
2026-06-10,1,M3_PULLBACK,NIFTY2661623350CE,CE,23350,2026-06-16,10:55:00,196.75,11:35:03,209.7,65,12.95,841.75,6.58,WIN,11.23,23361.7,23388.75,23365.87,23361.19,62.3,177.08,10.0,M3 | sig@-2 body=88% | break above pull,TRAIL_SL,SL hit | sl=210.21 cur=209.70 pnl=6.6%,True,True
2026-06-10,2,M3_PULLBACK,NIFTY2661623400CE,CE,23400,2026-06-16,13:05:00,195.85,13:23:48,175.8,65,-20.05,-1303.25,-10.24,LOSS,2.76,23416.45,23381.35,23385.22,23409.31,63.1,176.26,10.0,M3 | sig@-2 body=68% | break above pull,HARD_SL,SL hit | sl=176.26 cur=175.80 pnl=-10.2%,False,False
2026-06-15,1,M3_PULLBACK,NIFTY2661623900PE,PE,23900,2026-06-16,12:20:00,94.3,12:35:58,84.8,65,-9.5,-617.5,-10.07,LOSS,9.65,23907.1,23914.05,23966.63,23966.74,48.1,84.87,10.0,M3 | sig@-2 body=98% | break below pull,HARD_SL,SL hit | sl=84.87 cur=84.80 pnl=-10.1%,False,False
2026-06-17,1,M3_PULLBACK,NIFTY2662324100CE,CE,24100,2026-06-23,10:45:00,150.8,11:15:00,145.8,65,-5.0,-325.0,-3.32,LOSS,3.22,24085.3,24081.7,24055.49,24061.33,64.8,135.72,10.0,M3 | sig@-2 body=89% | break above pull,TIME_STOP,time stop 6c pnl=-3.3%,False,False
2026-06-17,2,M3_PULLBACK,NIFTY2662324100CE,CE,24100,2026-06-23,11:35:00,151.55,11:57:41,136.3,65,-15.25,-991.25,-10.06,LOSS,0.0,24098.65,24066.7,24061.03,24076.46,63.7,136.4,10.0,M3 | sig@-4 body=70% | break above pull,HARD_SL,SL hit | sl=136.40 cur=136.30 pnl=-10.1%,False,False
