date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,body_pct,vol_ratio,ema_slope_pts,rsi_delta,candle_direction,price_momentum_pct,market_state,day_class,gap_pct,vwap_drift_pct,model_a_pending,model_a_trigger,model_a_side,signal_v2,model_v2,spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_qty,position_entry_price,position_current_price,partial_booked
2026-05-25,09:15,54746.6,54947.0,54746.6,54920.8,73170,54871.47,54259.66,84.35,0.0899,86.93,3.7,118.12,18.83,1,1.067,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54877.95,54900,,,False,,0,,,False
2026-05-25,09:20,54928.0,54999.0,54890.0,54985.0,48660,54906.03,54328.74,85.31,0.1438,52.29,1.928,182.39,0.96,1,0.1169,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54928.45,54900,345.6,269.4,False,,0,,,False
2026-05-25,09:25,54985.0,55006.2,54976.4,54983.6,23310,54919.31,54391.11,85.19,0.1171,4.7,0.8,233.65,-0.12,-1,-0.0025,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54935.9,54900,352.7,261.6,False,,0,,,False
2026-05-25,09:30,54983.6,55000.0,54958.8,54973.6,17190,54925.47,54446.58,84.26,0.0876,24.27,0.568,272.41,-0.93,-1,-0.0182,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54909.4,54900,347.6,268.05,False,,0,,,False
2026-05-25,09:35,54973.6,54990.0,54941.2,54951.6,16950,54928.82,54494.68,82.13,0.0415,45.08,0.572,304.61,-2.12,-1,-0.04,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54878.85,54900,333.6,269.8,False,,0,,,False
2026-05-25,09:40,54951.6,54994.0,54947.2,54988.0,12420,54931.91,54541.66,82.9,0.1021,77.78,0.416,282.0,0.77,1,0.0662,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54913.6,54900,346.9,256.65,False,,0,,,False
2026-05-25,09:45,54988.0,54994.0,54922.2,54938.0,8580,54932.74,54579.41,77.95,0.0096,69.64,0.281,250.67,-4.95,-1,-0.0909,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54861.85,54900,317.45,280.0,False,,0,,,False
2026-05-25,09:50,54932.0,54955.0,54910.2,54940.0,8100,54932.83,54613.75,78.0,0.0131,17.86,0.279,222.64,0.06,1,0.0036,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,54863.7,54900,323.9,275.2,False,,0,,,False
2026-05-25,09:55,54940.0,54967.0,54934.0,54960.0,13830,54934.13,54646.73,78.6,0.0471,60.61,0.505,200.14,0.59,1,0.0364,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,54867.9,54900,331.3,269.75,False,,0,,,False
2026-05-25,10:00,54960.0,55080.0,54955.2,55050.0,27180,54944.4,54685.13,81.07,0.1922,72.12,1.05,190.45,2.47,1,0.1638,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,54940.3,54900,371.0,230.4,False,,0,,,False
2026-05-25,10:05,55050.0,55078.8,55021.8,55074.8,15690,54951.15,54722.24,81.69,0.225,43.51,0.629,180.58,0.63,1,0.045,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,54942.95,54900,379.0,226.45,False,,0,,,False
2026-05-25,10:10,55074.8,55081.0,55030.8,55060.0,11100,54955.42,54754.41,79.99,0.1903,29.48,0.578,175.0,-1.7,-1,-0.0269,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,54960.1,55000,,,False,,0,,,False
2026-05-25,10:15,55060.0,55090.2,55048.4,55083.8,27420,54966.14,54785.78,80.69,0.2141,56.94,1.776,172.03,0.7,1,0.0432,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,54986.9,55000,316.55,260.5,False,,0,,,False
2026-05-25,10:20,55083.8,55086.8,55032.0,55032.0,14460,54969.96,54809.23,74.6,0.1129,94.53,0.913,162.51,-6.09,-1,-0.094,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,54947.15,54900,,,False,,0,,,False
2026-05-25,10:25,55032.0,55065.0,55008.2,55047.2,9390,54971.98,54831.89,75.19,0.1368,26.76,0.603,146.76,0.59,1,0.0276,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,54952.2,55000,,,False,,0,,,False
2026-05-25,10:30,55048.0,55120.0,55017.2,55117.8,17160,54977.6,54859.12,77.78,0.255,67.9,1.158,136.88,2.59,1,0.1283,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55041.75,55000,338.25,235.2,False,,0,,,False
2026-05-25,10:35,55117.8,55148.2,55104.2,55135.0,12840,54983.05,54885.4,78.37,0.2764,39.09,0.84,130.99,0.59,1,0.0312,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55065.5,55100,,,False,,0,,,False
2026-05-25,10:40,55135.0,55144.0,55125.0,55125.0,9180,54986.76,54908.22,77.09,0.2514,52.63,0.584,122.44,-1.29,-1,-0.0181,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55057.35,55100,288.3,283.3,False,,0,,,False
2026-05-25,10:45,55125.0,55143.0,55108.0,55115.2,6690,54989.19,54927.93,75.77,0.2292,28.0,0.423,118.7,-1.31,-1,-0.0178,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55063.45,55100,286.75,284.3,False,,0,,,False
2026-05-25,10:50,55115.2,55136.2,55105.2,55110.0,5310,54990.98,54945.27,75.04,0.2164,16.77,0.351,113.37,-0.73,-1,-0.0094,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55066.1,55100,285.55,284.5,False,,0,,,False
2026-05-25,10:55,55110.0,55125.0,55075.6,55102.4,8910,54993.51,54960.23,73.92,0.198,15.38,0.689,101.11,-1.12,-1,-0.0138,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55044.05,55000,,,False,,0,,,False
2026-05-25,11:00,55102.4,55125.0,55076.2,55118.0,4290,54994.75,54975.26,74.76,0.2241,31.97,0.35,89.86,0.83,1,0.0283,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55075.35,55100,,,False,,0,,,False
2026-05-25,11:05,55118.0,55125.0,55099.0,55120.0,7200,54996.91,54989.04,74.87,0.2238,7.69,0.623,80.83,0.11,1,0.0036,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55065.25,55100,284.2,286.0,False,,0,,,False
2026-05-25,11:10,55120.0,55125.0,55105.6,55122.2,10380,54999.97,55001.73,75.0,0.2222,11.34,1.088,73.8,0.13,1,0.004,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55085.25,55100,297.1,275.7,False,,0,,,False
2026-05-25,11:15,55125.0,55132.0,55113.8,55129.6,7530,55002.23,55013.9,75.46,0.2316,25.27,0.824,68.63,0.46,1,0.0134,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55079.95,55100,294.25,278.0,False,,0,,,False
2026-05-25,11:20,55129.6,55132.0,55102.6,55114.4,8850,55004.6,55023.48,72.5,0.1996,51.7,0.989,63.24,-2.95,-1,-0.0276,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55072.55,55100,287.2,280.15,False,,0,,,False
2026-05-25,11:25,55114.4,55119.0,55109.0,55118.0,6360,55006.23,55032.48,72.78,0.2032,36.0,0.783,57.22,0.27,1,0.0065,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55082.75,55100,286.8,280.25,False,,0,,,False
2026-05-25,11:30,55118.0,55120.0,55102.2,55103.0,4650,55007.32,55039.19,69.69,0.1739,84.27,0.622,50.15,-3.09,-1,-0.0272,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55062.0,55100,281.0,280.5,False,,0,,,False
2026-05-25,11:35,55103.0,55160.0,55091.8,55160.0,16080,55011.93,55050.7,74.17,0.2692,83.58,2.292,48.97,4.49,1,0.1034,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55095.65,55100,311.35,252.05,False,,0,,,False
2026-05-25,11:40,55160.0,55175.0,55132.0,55145.0,6720,55013.96,55059.68,71.19,0.2382,34.88,0.845,45.78,-2.99,-1,-0.0272,TRENDING,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55096.0,55100,306.0,259.95,False,,0,,,False
2026-05-25,11:45,55142.0,55171.6,55142.0,55155.2,17880,55019.29,55068.78,72.01,0.247,44.59,2.208,45.3,0.83,1,0.0185,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55104.15,55100,303.9,259.6,False,,0,,,False
2026-05-25,11:50,55155.2,55198.4,55151.0,55161.4,33630,55029.22,55077.6,72.53,0.2402,13.08,3.739,45.12,0.52,1,0.0112,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55108.5,55100,313.0,251.55,False,,0,,,False
2026-05-25,11:55,55161.4,55191.6,55146.4,55146.6,6840,55030.97,55084.17,69.25,0.2101,32.74,0.573,44.98,-3.28,-1,-0.0268,SIDEWAYS,CHOP_DAY,0.939,0.013,False,,,NO_SIGNAL,NONE,55103.85,55100,306.75,254.0,False,,0,,,False
