date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-06-11,09:15,54968.8,55071.0,54900.2,55069.8,40740,55013.67,55288.63,27.41,0.102,False,True,False,59.13,False,True,False,0.3697,-23.03,-7.67,1.035,0.2747,-0.2548,1,-0.2539,SIDEWAYS,True,NO_SIGNAL,54967.25,55000,1088.85,856.2,False,,,
2026-06-11,09:20,55069.8,55145.8,55025.0,55065.0,27270,55039.7,55267.33,27.19,0.046,False,True,False,3.97,False,True,False,0.4738,-21.3,-0.22,0.688,0.1041,-0.0087,-1,-0.0087,TRENDING,True,NO_SIGNAL,55013.15,55000,985.0,940.0,False,,,
2026-06-11,09:25,55065.0,55120.0,55020.2,55100.4,12120,55045.83,55251.43,31.54,0.0991,False,True,False,35.47,False,True,False,0.4014,-15.9,4.35,0.323,-0.0724,0.0643,1,0.0643,TRENDING,True,NO_SIGNAL,54996.25,55000,999.45,935.0,False,,,
2026-06-11,09:30,55094.6,55098.0,55025.0,55060.0,20430,55048.91,55233.2,29.38,0.0201,False,True,False,47.4,False,False,True,0.4945,-18.23,-2.16,0.576,0.0931,-0.0734,-1,-0.0733,TRENDING,True,NO_SIGNAL,54979.35,55000,984.45,940.4,False,,,
2026-06-11,09:35,55060.0,55180.0,55031.0,55175.0,16800,55060.33,55227.66,41.62,0.2083,False,True,False,77.18,False,True,False,0.1895,-5.54,12.24,0.469,-0.305,0.2089,1,0.2089,SIDEWAYS,True,NO_SIGNAL,55086.1,55100,1039.85,891.55,False,,,
2026-06-11,09:40,55184.0,55230.0,55098.4,55229.6,10320,55070.49,55227.84,46.37,0.2889,False,True,False,34.65,False,True,False,0.2301,0.18,4.75,0.316,0.0406,0.0991,1,0.099,SIDEWAYS,True,NO_SIGNAL,55151.85,55200,1014.8,910.0,False,,,
2026-06-11,09:45,55229.6,55250.0,55200.2,55240.0,10170,55082.26,55229.0,47.25,0.2864,False,True,False,20.88,False,True,False,0.1344,1.16,0.88,0.342,-0.0957,0.0189,1,0.0188,SIDEWAYS,True,NO_SIGNAL,55172.75,55200,975.25,958.35,False,,,
2026-06-11,09:50,55249.0,55350.0,55225.0,55293.8,22350,55111.19,55235.17,51.68,0.3313,False,True,False,35.84,False,True,False,0.253,6.17,4.42,0.819,0.1186,0.0976,1,0.0974,SIDEWAYS,True,NO_SIGNAL,55214.55,55200,993.1,927.75,False,,,
2026-06-11,09:55,55293.8,55312.2,55160.2,55162.6,14280,55119.41,55228.26,42.35,0.0784,False,False,False,86.32,False,True,False,0.1054,-6.91,-9.32,0.607,-0.1476,-0.238,-1,-0.2373,SIDEWAYS,True,NO_SIGNAL,55089.05,55100,938.8,972.35,False,,,
2026-06-11,10:00,55162.6,55241.0,55160.2,55163.6,5400,55121.48,55222.1,42.44,0.0764,False,False,False,1.24,False,True,False,0.2085,-6.16,0.09,0.261,0.1031,0.0018,1,0.0018,SIDEWAYS,True,NO_SIGNAL,55056.3,55100,975.25,941.7,False,,,
2026-06-11,10:05,55163.2,55284.6,55125.0,55240.8,8160,55125.61,55223.88,48.74,0.209,False,False,False,48.62,False,True,False,0.5331,1.78,6.3,0.454,0.3246,0.14,1,0.1399,TRENDING,True,NO_SIGNAL,55178.7,55200,1026.75,893.35,False,,,
2026-06-11,10:10,55240.8,55285.0,55212.6,55212.6,3630,55127.72,55222.81,46.73,0.154,False,False,False,38.95,False,True,False,0.3402,-1.07,-2.01,0.246,-0.1929,-0.0512,-1,-0.051,SIDEWAYS,True,NO_SIGNAL,55123.5,55100,952.3,955.65,False,,,
2026-06-11,10:15,55212.6,55290.0,55212.6,55290.0,2610,55129.55,55229.21,52.52,0.291,False,False,False,100.0,False,True,False,0.7077,6.4,5.79,0.211,0.3675,0.1404,1,0.1402,TRENDING,True,NO_SIGNAL,55213.0,55200,1050.0,872.7,False,,,
2026-06-11,10:20,55290.0,55320.0,55236.2,55236.2,5910,55133.52,55229.87,48.57,0.1862,False,False,False,64.2,False,False,True,0.1918,0.67,-3.95,0.518,-0.5159,-0.0976,-1,-0.0973,SIDEWAYS,True,NO_SIGNAL,55176.45,55200,974.2,938.55,False,,,
2026-06-11,10:25,55236.2,55325.0,55236.2,55290.4,6900,55138.53,55235.64,52.45,0.2754,True,False,False,61.04,False,True,False,0.2417,5.76,3.88,0.693,0.0499,0.0983,1,0.0981,SIDEWAYS,True,NO_SIGNAL,55258.45,55300,1002.4,909.65,False,,,
2026-06-11,10:30,55300.0,55321.0,55255.0,55268.0,5310,55142.1,55238.72,50.75,0.2283,True,False,False,48.48,False,False,True,0.1244,3.08,-1.71,0.592,-0.1173,-0.0406,-1,-0.0405,SIDEWAYS,True,NO_SIGNAL,55240.15,55200,941.45,964.25,False,,,
2026-06-11,10:35,55268.0,55310.0,55268.0,55283.8,2580,55143.85,55243.01,51.93,0.2538,True,False,False,37.62,False,True,False,0.0444,4.29,1.19,0.305,-0.08,0.0287,1,0.0286,SIDEWAYS,True,NO_SIGNAL,55240.75,55200,996.75,907.55,False,,,
2026-06-11,10:40,55283.8,55310.0,55259.2,55300.0,2310,55145.4,55248.44,53.18,0.2803,True,False,False,31.89,False,True,False,0.687,5.43,1.25,0.299,0.6426,0.0294,1,0.0293,TRENDING,True,NO_SIGNAL,55234.1,55200,994.15,910.1,False,,,
2026-06-11,10:45,55291.2,55313.0,55260.4,55260.4,1980,55146.59,55249.58,49.78,0.2064,True,False,False,58.56,False,True,False,0.484,1.14,-3.4,0.347,-0.203,-0.0718,-1,-0.0716,TRENDING,True,NO_SIGNAL,55205.1,55200,969.1,932.15,False,,,
2026-06-11,10:50,55260.4,55260.4,55165.0,55165.0,14250,55149.66,55241.52,42.7,0.0278,False,False,True,100.0,False,False,True,0.379,-8.06,-7.08,3.182,-0.105,-0.173,-1,-0.1726,SIDEWAYS,True,NO_SIGNAL,55098.85,55100,933.0,961.4,False,,,
2026-06-11,10:55,55180.0,55224.8,55160.2,55176.6,4740,55150.4,55235.34,43.75,0.0475,False,False,False,5.26,False,False,True,0.2184,-6.18,1.05,0.884,-0.1606,0.021,-1,0.021,SIDEWAYS,True,NO_SIGNAL,55125.05,55100,997.05,909.95,False,,,
2026-06-11,11:00,55179.0,55243.8,55130.6,55212.8,10020,55152.23,55233.19,47.01,0.1098,False,True,True,29.86,False,False,True,0.3971,-2.15,3.26,1.995,0.1787,0.0656,1,0.0656,SIDEWAYS,True,NO_SIGNAL,55163.1,55200,1012.1,891.65,False,,,
2026-06-11,11:05,55212.8,55298.0,55200.0,55205.4,6240,55154.25,55230.55,46.41,0.0927,False,True,False,7.55,False,False,True,0.1584,-2.65,-0.59,1.102,-0.2387,-0.0134,-1,-0.0134,SIDEWAYS,True,NO_SIGNAL,55160.15,55200,951.8,938.95,False,,,
2026-06-11,11:10,55205.4,55230.0,55200.0,55200.0,1980,55154.68,55227.64,45.96,0.0822,False,True,False,18.0,False,False,True,0.465,-2.91,-0.45,0.329,0.3066,-0.0098,-1,-0.0098,TRENDING,True,NO_SIGNAL,55135.75,55100,946.2,946.35,False,,,
2026-06-11,11:15,55200.0,55265.0,55194.6,55255.6,3750,55155.89,55230.3,51.25,0.1808,False,True,False,78.98,False,False,True,0.0651,2.66,5.29,0.666,-0.3999,0.1008,1,0.1007,SIDEWAYS,True,NO_SIGNAL,55174.95,55200,1027.25,879.9,False,,,
2026-06-11,11:20,55255.6,55296.0,55239.2,55275.0,2370,55156.92,55234.56,52.98,0.2141,False,False,False,34.15,False,True,False,0.0482,4.26,1.73,0.446,-0.0169,0.0352,1,0.0351,SIDEWAYS,True,NO_SIGNAL,55207.45,55200,983.3,916.6,False,,,
2026-06-11,11:25,55275.0,55360.0,55258.0,55359.0,13380,55165.1,55246.41,59.66,0.3515,True,False,True,82.35,False,True,False,0.2572,11.85,6.68,2.664,0.209,0.1523,1,0.152,SIDEWAYS,True,NO_SIGNAL,55285.55,55300,1027.35,880.05,False,,,
2026-06-11,11:30,55360.0,55400.0,55310.0,55320.0,16020,55174.88,55253.42,55.7,0.263,True,False,True,44.44,False,True,False,0.2212,7.01,-3.95,2.625,-0.036,-0.0707,-1,-0.0704,SIDEWAYS,True,NO_SIGNAL,55244.8,55200,949.0,939.4,False,,,
2026-06-11,11:35,55320.0,55336.8,55275.0,55310.0,2340,55175.93,55258.81,54.7,0.243,True,False,False,16.18,False,False,True,0.5382,5.39,-1.0,0.313,0.317,-0.0181,-1,-0.0181,TRENDING,True,NO_SIGNAL,55214.25,55200,989.6,906.5,False,,,
2026-06-11,11:40,55310.0,55360.0,55281.0,55360.0,2430,55177.22,55268.44,58.7,0.3313,True,False,False,63.29,False,False,True,0.6808,9.64,4.0,0.324,0.1426,0.0906,1,0.0904,TRENDING,True,NO_SIGNAL,55298.4,55300,1035.45,872.65,False,,,
2026-06-11,11:45,55360.0,55434.0,55352.0,55420.0,14580,55187.74,55282.88,62.93,0.4209,True,False,True,73.17,False,True,False,0.6829,14.43,4.23,2.304,0.0021,0.1087,1,0.1084,TRENDING,True,BUY_CE,55354.3,55400,1009.2,894.6,False,,,
2026-06-11,11:50,55402.2,55480.0,55401.8,55460.0,22410,55205.17,55299.75,65.47,0.4616,True,False,True,73.91,False,True,False,0.8921,16.87,2.54,3.065,0.2092,0.0725,1,0.0722,TRENDING,True,NO_SIGNAL,55392.85,55400,960.3,926.4,True,CE,952.95,960.3
2026-06-11,11:55,55460.0,55500.0,55444.6,55446.6,13800,55215.43,55313.73,63.89,0.4187,True,False,True,24.19,False,True,False,0.8075,13.99,-1.58,1.614,-0.0846,-0.0243,-1,-0.0242,TRENDING,True,NO_SIGNAL,55406.6,55400,966.0,917.85,True,CE,952.95,966.0
2026-06-11,12:00,55446.6,55500.0,55446.6,55475.0,8280,55221.45,55329.09,65.77,0.4592,True,False,False,53.18,False,True,False,0.7184,15.36,1.88,0.89,-0.0891,0.0514,1,0.0512,TRENDING,True,NO_SIGNAL,55425.75,55400,980.0,910.0,True,CE,952.95,980.0
2026-06-11,12:05,55475.0,55505.0,55452.2,55485.6,9870,55228.45,55344.0,66.47,0.4656,True,False,False,20.08,False,True,False,0.7923,14.91,0.7,0.993,0.0739,0.0192,1,0.0191,TRENDING,True,NO_SIGNAL,55428.75,55400,979.65,911.1,True,CE,952.95,979.65
2026-06-11,12:10,55485.6,55500.0,55453.0,55500.0,3990,55231.21,55358.85,67.45,0.4867,True,False,False,30.64,False,True,False,0.5709,14.86,0.98,0.378,-0.2214,0.0261,1,0.026,TRENDING,True,NO_SIGNAL,55456.0,55400,998.5,900.0,True,CE,952.95,998.5
2026-06-11,12:15,55500.0,55550.0,55450.0,55451.0,11490,55238.82,55367.63,60.94,0.3841,True,False,False,49.0,False,True,False,0.4764,8.78,-6.51,1.073,-0.0945,-0.0887,-1,-0.0883,TRENDING,True,NO_SIGNAL,55416.75,55400,972.65,921.3,True,CE,952.95,972.65
2026-06-11,12:20,55450.0,55478.8,55430.0,55455.0,4710,55241.45,55375.95,61.27,0.3866,True,False,False,10.25,False,True,False,0.5273,8.32,0.33,0.448,0.0509,0.0072,1,0.0072,TRENDING,True,NO_SIGNAL,55417.45,55400,977.0,917.0,True,CE,952.95,977.0
2026-06-11,12:25,55455.0,55549.8,55449.8,55538.4,10350,55248.54,55391.42,67.42,0.5246,True,False,False,83.4,False,True,False,0.6632,15.47,6.16,1.102,0.1359,0.151,1,0.1504,TRENDING,True,NO_SIGNAL,55490.05,55400,1014.55,893.0,True,CE,952.95,1014.55
2026-06-11,12:30,55550.0,55600.0,55540.2,55600.0,22260,55266.17,55411.29,71.08,0.604,True,False,True,83.61,False,True,False,0.7258,19.86,3.66,2.184,0.0626,0.1115,1,0.1109,TRENDING,True,NO_SIGNAL,55552.15,55400,1045.0,856.0,True,CE,952.95,1045.0
2026-06-11,12:35,55600.0,55619.8,55552.2,55588.0,13530,55276.21,55428.12,69.45,0.5641,True,False,False,17.75,False,True,False,0.5872,16.83,-1.64,1.111,-0.1386,-0.0217,-1,-0.0216,TRENDING,True,NO_SIGNAL,55538.95,55400,1040.95,861.05,True,CE,952.95,1040.95
2026-06-11,12:40,55588.0,55616.0,55556.2,55614.8,15000,55286.93,55445.9,71.05,0.593,True,False,True,44.82,False,True,False,0.8862,17.78,1.6,1.243,0.299,0.0485,1,0.0482,TRENDING,True,NO_SIGNAL,55563.4,55400,1052.4,859.1,True,CE,952.95,1052.4
2026-06-11,12:45,55607.4,55630.0,55550.0,55550.0,10710,55293.7,55455.81,62.51,0.4635,True,False,False,71.75,False,False,True,0.375,9.91,-8.53,0.945,-0.5112,-0.1172,-1,-0.1165,SIDEWAYS,True,NO_SIGNAL,55497.3,55400,1013.4,881.95,True,CE,952.95,1013.4
2026-06-11,12:50,55550.0,55580.0,55505.0,55550.0,8550,55298.31,55464.78,62.51,0.4551,True,False,False,0.0,False,False,False,0.322,8.97,0.0,0.776,-0.053,0.0,0,0.0,SIDEWAYS,True,NO_SIGNAL,55488.9,55400,1013.1,888.0,True,CE,952.95,1013.1
2026-06-11,12:55,55550.0,55600.0,55516.0,55597.0,3660,55300.44,55477.37,65.95,0.5363,True,False,False,55.95,False,False,False,0.485,12.59,3.44,0.331,0.163,0.085,1,0.0846,TRENDING,True,NO_SIGNAL,55555.15,55400,1055.15,857.6,True,CE,952.95,1055.15
2026-06-11,13:00,55599.0,55650.0,55560.0,55560.0,10680,55306.87,55485.24,61.19,0.4577,True,False,False,43.33,False,False,False,0.4955,7.87,-4.76,1.024,0.0105,-0.0669,-1,-0.0666,TRENDING,True,NO_SIGNAL,55522.65,55400,1027.9,874.8,True,CE,952.95,1027.9
2026-06-11,13:05,55560.0,55570.0,55501.0,55501.0,5370,55309.27,55486.74,54.44,0.3467,True,False,False,85.51,False,False,True,0.2091,1.5,-6.75,0.484,-0.2864,-0.1067,-1,-0.1062,SIDEWAYS,True,NO_SIGNAL,55443.8,55400,991.25,901.2,True,CE,952.95,991.25
2026-06-11,13:10,55501.0,55501.6,55420.0,55420.0,12060,55312.61,55480.39,46.81,0.1942,True,False,False,99.26,False,False,True,0.5148,-6.36,-7.63,1.151,0.3057,-0.1464,-1,-0.1459,TRENDING,True,NO_SIGNAL,55358.1,55400,951.1,925.1,True,CE,952.95,951.1
