datetime,open,high,low,close,volume
2026-04-01 09:15:00,23280,23280,23089.2,23200,8190
2026-04-01 09:20:00,23200,23226,23200,23220,9230
2026-04-01 09:25:00,23220,23261.1,23220,23261.1,14170
2026-04-01 09:30:00,23261.1,23267,23204.7,23210,9165
2026-04-01 09:35:00,23210,23210,23192.4,23192.5,4680
2026-04-01 09:40:00,23192.5,23245,23192.5,23217.3,5265
2026-04-01 09:45:00,23217.3,23262.5,23214.9,23262.5,7150
2026-04-01 09:50:00,23262.5,23305,23261.7,23293,19305
2026-04-01 09:55:00,23291,23293.9,23268,23268.5,5915
2026-04-01 10:00:00,23268.5,23311,23268.5,23311,4485
2026-04-01 10:05:00,23311,23313.8,23281,23283.4,5135
2026-04-01 10:10:00,23283.4,23283.4,23250,23250,2665
2026-04-01 10:15:00,23250,23262,23242.8,23247.6,6175
2026-04-01 10:20:00,23247.6,23257,23210,23210,5460
2026-04-01 10:25:00,23210,23210,23150,23159.7,6175
2026-04-01 10:30:00,23159.7,23180,23150,23174.3,3250
2026-04-01 10:35:00,23174.3,23198,23174.3,23197.9,1300
2026-04-01 10:40:00,23197.9,23197.9,23165,23189,5395
2026-04-01 10:45:00,23189,23213.1,23189,23196,3120
2026-04-01 10:50:00,23196,23196,23179.9,23186.3,390
2026-04-01 10:55:00,23186.3,23188,23150,23150,1755
2026-04-01 11:00:00,23150,23157.3,23136,23140,2795
2026-04-01 11:05:00,23140,23152.1,23125,23145,2340
2026-04-01 11:10:00,23145,23172.9,23141.4,23150.4,910
2026-04-01 11:15:00,23150.4,23153.9,23141.7,23153.9,1495
2026-04-01 11:20:00,23153.9,23169.9,23148.9,23169.9,3770
2026-04-01 11:25:00,23169.9,23188,23169,23176,3185
2026-04-01 11:30:00,23176,23200,23176,23189.1,2600
2026-04-01 11:35:00,23189.1,23201.6,23185,23201.6,2015
2026-04-01 11:40:00,23201.6,23217.6,23189.4,23191.7,5720
2026-04-01 11:45:00,23191.7,23191.7,23140,23145,2860
2026-04-01 11:50:00,23145,23160,23145,23145,910
2026-04-01 11:55:00,23145,23167.8,23135.4,23167.8,1105
2026-04-01 12:00:00,23167.8,23230,23167.8,23230,1495
2026-04-01 12:05:00,23230,23240,23220,23230,1560
2026-04-01 12:10:00,23230,23258.9,23222.6,23245,2990
2026-04-01 12:15:00,23245,23252,23231.1,23231.1,1885
2026-04-01 12:20:00,23231.1,23231.1,23222.5,23230,1885
2026-04-01 12:25:00,23230,23230,23220,23220,1365
2026-04-01 12:30:00,23220,23244.9,23220,23239,845
2026-04-01 12:35:00,23239,23239,23218.1,23228.8,520
2026-04-01 12:40:00,23228.8,23250,23228.8,23239,390
2026-04-01 12:45:00,23239,23266,23239,23266,1105
2026-04-01 12:50:00,23266,23266,23256.6,23260,195
2026-04-01 12:55:00,23260,23265,23259,23265,585
2026-04-01 13:00:00,23265,23269.2,23260,23265,520
2026-04-01 13:05:00,23265,23269.2,23262,23269.2,585
2026-04-01 13:10:00,23269.2,23269.2,23249.3,23268,780
2026-04-01 13:15:00,23268,23280.1,23230.1,23230.1,2340
2026-04-01 13:20:00,23230.1,23230.1,23205.3,23205.3,910
2026-04-01 13:25:00,23205.3,23205.3,23177,23198.6,3835
2026-04-01 13:30:00,23198.6,23198.6,23142.2,23177.3,2795
2026-04-01 13:35:00,23177.3,23177.3,23135,23151.3,2665
2026-04-01 13:40:00,23151.3,23151.3,23032,23062.8,9685
2026-04-01 13:45:00,23062.8,23100,23045,23093,2990
2026-04-01 13:50:00,23093,23101,23080,23085.6,4680
2026-04-01 13:55:00,23085.6,23115.5,23081.2,23089,3055
2026-04-01 14:00:00,23089,23129.2,23080,23114.2,6695
2026-04-01 14:05:00,23114.2,23128,23105.1,23127.8,1300
2026-04-01 14:10:00,23127.8,23147,23112.1,23147,7020
2026-04-01 14:15:00,23147,23152.5,23113,23135,3640
2026-04-01 14:20:00,23135,23138.9,23099.9,23123,2080
2026-04-01 14:25:00,23123,23125,23115,23115,715
2026-04-01 14:30:00,23115,23129.5,23110,23110,585
2026-04-01 14:35:00,23110,23110,23060,23069.8,1365
2026-04-01 14:40:00,23069.8,23074.9,23050,23072.5,4485
2026-04-01 14:45:00,23072.5,23072.5,23020,23030,2990
2026-04-01 14:50:00,23030,23055,23017.2,23051,3705
2026-04-01 14:55:00,23051,23083.6,23043.7,23043.7,2600
2026-04-01 15:00:00,23050,23097.8,23050,23095,2860
2026-04-01 15:05:00,23095,23095,23065.7,23073.3,1170
2026-04-01 15:10:00,23073.3,23082,23073.3,23080,715
2026-04-01 15:15:00,23080,23080,23059.4,23080,1950
2026-04-01 15:20:00,23080,23080,23064.1,23070,2340
2026-04-01 15:25:00,23070,23115.3,23065,23103,4030
2026-04-02 09:15:00,22759.7,22772.4,22600,22616,24375
2026-04-02 09:20:00,22616,22639.4,22610,22635,5330
2026-04-02 09:25:00,22635,22649.9,22620,22623.8,4745
2026-04-02 09:30:00,22623.8,22650,22621,22630,5460
2026-04-02 09:35:00,22630,22668.3,22625,22630,4550
2026-04-02 09:40:00,22630,22650,22621,22630,3510
2026-04-02 09:45:00,22630,22642,22612,22612,2470
2026-04-02 09:50:00,22612,22619.5,22584.9,22587,6110
2026-04-02 09:55:00,22587,22597.1,22573.4,22580,3250
2026-04-02 10:00:00,22580,22590,22560.8,22583.4,5850
2026-04-02 10:05:00,22583.4,22583.4,22550,22550,2470
2026-04-02 10:10:00,22550,22589.1,22546,22583.6,7345
2026-04-02 10:15:00,22583.6,22583.6,22550,22570,2730
2026-04-02 10:20:00,22570,22583,22550.1,22550.3,6565
2026-04-02 10:25:00,22550.3,22586,22550.2,22581,2470
2026-04-02 10:30:00,22581,22586,22575,22580,1495
2026-04-02 10:35:00,22580,22589.7,22566.1,22585.6,1885
2026-04-02 10:40:00,22585.6,22599.6,22585,22590.3,1495
2026-04-02 10:45:00,22590.3,22591.7,22554.9,22572.9,50050
2026-04-02 10:50:00,22572.9,22580,22562.1,22580,4355
2026-04-02 10:55:00,22580,22611,22580,22605,2990
2026-04-02 11:00:00,22605,22618.1,22600,22603,2275
2026-04-02 11:05:00,22603,22610.1,22590,22597.1,1885
2026-04-02 11:10:00,22597.1,22597.2,22582.2,22597.2,3575
2026-04-02 11:15:00,22597.2,22597.2,22570,22574,2405
2026-04-02 11:20:00,22574,22584.6,22563.6,22575.2,4030
2026-04-02 11:25:00,22575.2,22579.3,22559,22569,4680
2026-04-02 11:30:00,22569,22585.3,22561.1,22580.5,3705
2026-04-02 11:35:00,22580.5,22600.9,22580.5,22600,2145
2026-04-02 11:40:00,22600,22603,22581.1,22592,2080
2026-04-02 11:45:00,22592,22614,22592,22601.9,3055
2026-04-02 11:50:00,22601.9,22618,22601.9,22612.7,2600
2026-04-02 11:55:00,22612.7,22667.9,22607.8,22636.2,6890
2026-04-02 12:00:00,22636.2,22654.5,22618.9,22625.5,5590
2026-04-02 12:05:00,22625.5,22633.1,22600.1,22622.5,16705
2026-04-02 12:10:00,22622.5,22638.9,22621.4,22622.5,1690
2026-04-02 12:15:00,22622.5,22637.9,22620.1,22620.5,2405
2026-04-02 12:20:00,22620.5,22630,22593.9,22620,2925
2026-04-02 12:25:00,22620,22650,22617.1,22650,2795
2026-04-02 12:30:00,22650,22681.4,22650,22678.5,5200
2026-04-02 12:35:00,22678.5,22723.1,22675.3,22701.6,12220
2026-04-02 12:40:00,22701.6,22723.9,22699.4,22720,4940
2026-04-02 12:45:00,22720,22730,22696.2,22709.2,3510
2026-04-02 12:50:00,22709.2,22715.4,22680,22680,3900
2026-04-02 12:55:00,22680,22731.5,22676.2,22731.5,4355
2026-04-02 13:00:00,22731.5,22761,22731.5,22735,3770
2026-04-02 13:05:00,22735,22746,22707.8,22729.8,3120
2026-04-02 13:10:00,22729.8,22739.5,22718.2,22721.5,1820
2026-04-02 13:15:00,22721.5,22752.3,22721.5,22752.3,845
2026-04-02 13:20:00,22752.3,22800,22745.9,22800,5135
2026-04-02 13:25:00,22800,22853.8,22780,22853.8,6305
2026-04-02 13:30:00,22853.8,22870,22834.7,22855.4,3575
2026-04-02 13:35:00,22855.4,22890,22824.9,22885,4030
2026-04-02 13:40:00,22885,22913,22871.6,22900,4680
2026-04-02 13:45:00,22900,22930,22883.3,22883.3,3185
2026-04-02 13:50:00,22883.3,22927.1,22883.3,22900,2015
2026-04-02 13:55:00,22900,22900,22860,22885,2730
2026-04-02 14:00:00,22885,22925,22880,22925,4485
2026-04-02 14:05:00,22925,22938.6,22904.4,22938.6,3835
2026-04-02 14:10:00,22938.6,22990,22932,22980,4550
2026-04-02 14:15:00,22980,23036.4,22970.2,23021.7,8970
2026-04-02 14:20:00,23021.7,23025,23000,23025,1235
2026-04-02 14:25:00,23025,23034.8,22993.6,23011.2,2275
2026-04-02 14:30:00,23011.2,23050,23010,23035,3835
2026-04-02 14:35:00,23035,23036.1,22961.7,22965.8,3185
2026-04-02 14:40:00,22965.8,22988.9,22920.7,22930,5135
2026-04-02 14:45:00,22930,22980,22920,22961.1,3575
2026-04-02 14:50:00,22961.1,23011.1,22961.1,22990.6,4030
2026-04-02 14:55:00,22990.6,23004,22985,22999.8,4095
2026-04-02 15:00:00,22999.8,23034,22994.1,23019.9,7605
2026-04-02 15:05:00,23019.9,23085,23019.9,23079.9,9295
2026-04-02 15:10:00,23079.9,23090,23066.1,23077.1,4875
2026-04-02 15:15:00,23077.1,23106.9,23037.1,23037.1,8970
2026-04-02 15:20:00,23037.1,23052,23000.7,23030,5265
2026-04-02 15:25:00,23030,23068,23025,23055.3,5200
2026-04-06 09:15:00,23055.3,23075.9,22950,22999.5,12155
2026-04-06 09:20:00,22999.5,23044,22990,22991.1,3055
