datetime,open,high,low,close,volume
2026-03-02 00:00:00,25100,25151,24743.4,24982.2,9156615
2026-03-04 00:00:00,24450,24700,24427,24584.7,10549695
2026-03-05 00:00:00,24659,24970.5,24625,24854.3,7632625
2026-03-06 00:00:00,24689.9,24777,24500,24545.7,5861830
2026-03-09 00:00:00,23845,24204.7,23804,24122.5,11435840
2026-03-10 00:00:00,24286.6,24419.6,24158.9,24393.6,7045025
2026-03-11 00:00:00,24339,24375,23912,23939.1,7955350
2026-03-12 00:00:00,23720,23925,23640,23728.5,8812115
2026-03-13 00:00:00,23499,23570.1,23155.1,23199.3,11655605
2026-03-16 00:00:00,23235.1,23534.1,23025,23429.2,11270870
2026-03-17 00:00:00,23520,23670,23372.6,23617.4,7557355
2026-03-18 00:00:00,23662.1,23875.7,23648.8,23776.4,6840015
2026-03-19 00:00:00,23340,23391.4,22940.2,23054.8,9348170
2026-03-20 00:00:00,23180,23378,23069.1,23140.5,8900580
2026-03-23 00:00:00,22821,22839.9,22471,22514.9,8772270
2026-03-24 00:00:00,22840,23061,22617,22928.4,10856755
2026-03-25 00:00:00,23075,23460.5,23064,23300,9284145
2026-03-27 00:00:00,23160,23168.5,22794.9,22816.6,10742420
2026-03-30 00:00:00,22609.5,22709.9,22285.8,22318.4,7831460
2026-04-01 00:00:00,22850,23035,22732,22800.1,8795540
2026-04-02 00:00:00,22451,22824,22276.7,22766.6,8772075
2026-04-06 00:00:00,22749.9,23089,22627,23057,7712900
2026-04-07 00:00:00,22875,23184.4,22806,23151.1,7273500
2026-04-08 00:00:00,23850.1,24090,23830,24057.8,8003840
2026-04-09 00:00:00,23960,24029.5,23750,23861.3,5737680
2026-04-10 00:00:00,23930.9,24120,23914.1,24101,5383040
2026-04-13 00:00:00,23748,23935,23625,23858.7,5446480
2026-04-15 00:00:00,24200.1,24315.5,24180,24237.7,4232540
2026-04-16 00:00:00,24342,24390,24114,24195.8,4463940
2026-04-17 00:00:00,24172,24394,24098.8,24368,3358875
2026-04-20 00:00:00,24419,24490,24260.4,24331.8,4426825
2026-04-21 00:00:00,24370,24604,24350,24584.5,3607240
2026-04-22 00:00:00,24451.6,24497,24325,24381.2,3292445
2026-04-23 00:00:00,24160,24288,24125,24163,5105165
2026-04-24 00:00:00,24192,24238.9,23834.7,23922.8,5646095
2026-04-27 00:00:00,24043,24140,23980.2,24120.1,6472635
2026-04-28 00:00:00,24030,24179,23965,23993.8,3603080
2026-04-29 00:00:00,24129,24450,24125,24252,5624385
2026-04-30 00:00:00,24065,24149.5,23851,24098.2,6198725
2026-05-04 00:00:00,24221,24381.3,24072,24206,4780815
2026-05-05 00:00:00,24062,24148,23937,24106.3,4164745
2026-05-06 00:00:00,24266.5,24470,24056,24447.4,6462690
2026-05-07 00:00:00,24450,24535,24318,24382.8,4342975
2026-05-08 00:00:00,24290,24294.8,24160,24234.6,3892005
2026-05-11 00:00:00,24006,24043,23850,23868.5,4745715
2026-05-12 00:00:00,23766,23778.5,23393.4,23424.7,5760560
2026-05-13 00:00:00,23455,23629.6,23320,23462.4,4785040
2026-05-14 00:00:00,23524.9,23797.3,23431.3,23700.1,5542160
2026-05-15 00:00:00,23743,23854.5,23585.3,23643.9,5147675
2026-05-18 00:00:00,23519,23712.7,23342.1,23658,5504200
2026-05-19 00:00:00,23665,23777,23576.5,23612,3329040
2026-05-20 00:00:00,23420,23700,23386.6,23668.5,3551730
2026-05-21 00:00:00,23815,23837.3,23550,23631.4,5029050
2026-05-22 00:00:00,23689,23849,23675.1,23744,5771870
2026-05-25 00:00:00,23938,24119.8,23910,24063,4879810
2026-05-26 00:00:00,24047,24084.3,23880,23913,3281525
2026-05-27 00:00:00,23970,24045,23900,23996.7,2889965
2026-05-29 00:00:00,23994,24065.1,23711.1,23748.8,8726185
