date,trade_number,futures_symbol,direction,entry_time,entry_price,exit_time,exit_price,qty,pnl_points,pnl_rupees,pnl_pct,result,sl_price,target_price,spot_entry,rsi14_entry,or_high,or_low,reason_for_entry,exit_layer,reason_for_exit
2026-06-02,1,NIFTY26JUNFUT,LONG,11:25:00,23445.0,11:27:20,23414.9,65,-30.1,-1956.5,-0.13,LOSS,23415.0,23515.0,23361.2,58.0,23370.2,23290.6,close=23445.0 > OR-high×buf=23386.6 (OR 23291-23370) | body+vol ok | RSI=67.25108589935425,HARD_SL,price 23414.9 ≤ SL 23415.0
2026-06-03,1,NIFTY26JUNFUT,SHORT,10:35:00,23275.0,10:41:43,23305.9,65,-30.9,-2008.5,-0.13,LOSS,23305.0,23205.0,23215.0,29.95,23461.9,23320.5,close=23275.0 < OR-low×buf=23304.2 (OR 23320-23462) | body+vol ok | RSI=34.96012411878357,HARD_SL,price 23305.9 ≥ SL 23305.0
2026-06-04,1,NIFTY26JUNFUT,LONG,10:45:00,23475.4,11:03:48,23445.4,65,-30.0,-1950.0,-0.13,LOSS,23445.4,23545.4,23411.0,51.85,23435.0,23332.6,close=23475.4 > OR-high×buf=23451.4 (OR 23333-23435) | body+vol ok | RSI=64.11947124541501,HARD_SL,price 23445.4 ≤ SL 23445.4
2026-06-08,1,NIFTY26JUNFUT,LONG,10:35:00,23272.9,10:45:00,23241.3,65,-31.6,-2054.0,-0.14,LOSS,23242.9,23342.9,23214.15,44.81,23224.0,23166.1,close=23272.9 > OR-high×buf=23240.3 (OR 23166-23224) | body+vol ok | RSI=64.61441548968943,HARD_SL,price 23241.3 ≤ SL 23242.9
2026-06-09,1,NIFTY26JUNFUT,SHORT,10:35:01,23205.2,11:47:27,23236.0,65,-30.8,-2002.0,-0.13,LOSS,23235.2,23135.2,23158.35,42.91,23270.0,23230.5,close=23205.2 < OR-low×buf=23214.2 (OR 23230-23270) | body+vol ok | RSI=39.39131592967514,HARD_SL,price 23236.0 ≥ SL 23235.2
2026-06-10,1,NIFTY26JUNFUT,LONG,09:50:00,23402.0,10:05:31,23371.0,65,-31.0,-2015.0,-0.13,LOSS,23372.0,23472.0,23379.25,77.36,23366.0,23274.1,close=23402.0 > OR-high×buf=23382.4 (OR 23274-23366) | body+vol ok | RSI=None,HARD_SL,price 23371.0 ≤ SL 23372.0
2026-06-11,1,NIFTY26JUNFUT,LONG,11:30:00,23255.1,12:30:50,23325.8,65,70.7,4595.5,0.3,WIN,23225.1,23325.1,23235.45,60.76,23168.6,23105.0,close=23255.1 > OR-high×buf=23184.8 (OR 23105-23169) | body+vol ok | RSI=71.28458754884585,TARGET,price 23325.8 ≥ target 23325.1
2026-06-12,1,NIFTY26JUNFUT,SHORT,11:20:00,23385.0,11:56:34,23417.0,65,-32.0,-2080.0,-0.14,LOSS,23415.0,23315.0,23363.1,53.72,23475.0,23417.3,close=23385.0 < OR-low×buf=23400.9 (OR 23417-23475) | body+vol ok | RSI=38.84727018719626,HARD_SL,price 23417.0 ≥ SL 23415.0
2026-06-16,1,NIFTY26JUNFUT,LONG,10:50:00,23999.0,11:04:42,23968.5,65,-30.5,-1982.5,-0.13,LOSS,23969.0,24069.0,23976.4,64.91,23970.0,23930.5,close=23999.0 > OR-high×buf=23986.8 (OR 23930-23970) | body+vol ok | RSI=61.39057478253106,HARD_SL,price 23968.5 ≤ SL 23969.0
2026-06-17,1,NIFTY26JUNFUT,LONG,10:20:00,24080.0,11:59:50,24050.0,65,-30.0,-1950.0,-0.12,LOSS,24050.0,24150.0,24067.75,65.94,24040.0,23991.0,close=24080.0 > OR-high×buf=24056.8 (OR 23991-24040) | body+vol ok | RSI=None,HARD_SL,price 24050.0 ≤ SL 24050.0
2026-06-18,1,NIFTY26JUNFUT,SHORT,11:20:00,24052.2,12:00:46,24083.0,65,-30.8,-2002.0,-0.13,LOSS,24082.2,23982.2,24048.45,34.6,24138.8,24075.3,close=24052.2 < OR-low×buf=24058.4 (OR 24075-24139) | body+vol ok | RSI=37.296303856828104,HARD_SL,price 24083.0 ≥ SL 24082.2
2026-06-23,1,NIFTY26JUNFUT,LONG,09:40:00,24138.0,11:01:42,24108.0,65,-30.0,-1950.0,-0.12,LOSS,24108.0,24208.0,24124.9,51.91,24110.0,24070.0,close=24138.0 > OR-high×buf=24126.9 (OR 24070-24110) | body+vol ok | RSI=None,HARD_SL,price 24108.0 ≤ SL 24108.0
