date,time,signal,block_reason,option_symbol,option_type,strike,spot,vwap,rsi14,wouldbe_entry_price,force_exit_time,force_exit_ltp,path_max_ltp,path_min_ltp,wouldbe_pnl_pct,wouldbe_mfe_pct,wouldbe_mae_pct,result
2026-06-18,12:30:00,BUY_CE,second entry blocked — first trade hit hard SL,NIFTY2662324100CE,CE,24100,24118.7,24101.18,70.41,130.75,15:20:00,159.5,163.55,109.05,21.99,25.09,-16.6,WIN
2026-06-18,13:35:01,BUY_CE,second entry blocked — first trade hit hard SL,NIFTY2662324100CE,CE,24100,24123.75,24107.01,67.27,133.65,15:20:00,159.5,163.55,109.05,19.34,22.37,-18.41,WIN
2026-06-18,15:10:00,BUY_CE,second entry blocked — first trade hit hard SL,NIFTY2662324200CE,CE,24200,24175.55,24117.19,70.18,108.25,15:20:00,105.35,108.25,104.3,-2.68,0.0,-3.65,LOSS
2026-06-18,15:25:00,BUY_CE,regime: close 24205.0 did not clear swing-high 24207.0 by 0.02%,NIFTY2662324200CE,CE,24200,24182.05,24126.59,69.49,106.9,15:30:00,110.7,110.7,106.9,3.55,3.55,0.0,WIN
2026-06-23,12:05:00,BUY_PE,regime: close 24001.0 did not clear swing-low 24003.0 by 0.02%,NIFTY26JUN23950PE,PE,23950,23970.35,24096.99,16.65,132.45,15:20:00,221.55,221.55,132.45,67.27,67.27,0.0,WIN
2026-06-23,15:15:00,BUY_PE,regime: close 23862.1 did not clear swing-low 23851.7 by 0.02%,NIFTY26JUN23850PE,PE,23850,23827.7,24007.97,34.33,154.95,15:20:00,165.85,165.85,154.95,7.03,7.03,0.0,WIN
2026-06-23,15:20:00,BUY_PE,max trades for the day reached,NIFTY26JUN23800PE,PE,23800,23807.45,23999.31,31.55,141.7,15:25:00,153.4,153.4,141.7,8.26,8.26,0.0,WIN
2026-06-23,15:25:00,BUY_PE,max trades for the day reached,NIFTY26JUN23800PE,PE,23800,23795.85,23992.78,29.7,153.8,15:30:00,159.45,159.45,153.8,3.67,3.67,0.0,WIN
2026-06-24,10:25:00,BUY_CE,before entry window (11:00),NIFTY26JUN23950CE,CE,23950,23945.5,23883.02,61.11,154,15:20:00,189.85,234.2,152.4,23.28,52.08,-1.04,WIN
2026-06-25,10:50:00,BUY_CE,before entry window (11:00),NIFTY26JUN24200CE,CE,24200,24198.8,24168.03,71.82,109.7,15:20:00,61,152.45,57.2,-44.39,38.97,-47.86,LOSS
2026-06-30,09:35:00,BUY_PE,before entry window (11:00),NIFTY2670723850PE,PE,23850,23871.7,23925.59,28.58,158.65,15:20:00,105.65,166.6,94.05,-33.41,5.01,-40.72,LOSS
